COICOP,Model,MAE,RMSE,MAPE
01,ARIMA,1176.2235360036075,1232.0629368334771,3.7894628225511178
01,LSTM,289.6950921565308,338.73986335911036,0.9036609593568569
01,Prophet,344.103234098081,372.6794399259589,1.1093512546909625
01,XGBoost,856.77880859375,892.3620341543,2.76038203730847
02,ARIMA,86.41396992492969,108.74502435905922,0.7512571475264802
02,LSTM,556.6911022635177,645.246644734521,4.542257934162857
02,Prophet,315.33940713494576,334.40366774735634,2.7458482518170166
02,XGBoost,1331.11083984375,1397.8011303472322,11.58266028700052
03,ARIMA,1080.5819339787008,1137.3630714743476,5.905715849058233
03,LSTM,1317.7870175838448,1566.512643205464,7.439568869658542
03,Prophet,213.09074278566004,215.6632165379582,1.1591414291578375
03,XGBoost,297.3076171875,340.1596247535854,1.6294324298258813
04,ARIMA,2367.8276123178566,2632.3290215921893,2.356941101472464
04,LSTM,1385.6862862110029,1462.1110008861046,1.406876471349654
04,Prophet,539.1136810523421,636.2317915489558,0.5359261815736165
04,XGBoost,1765.783203125,2012.4039107495294,1.7563533405258096
05,ARIMA,1287.8901118686545,1383.60457541823,7.055907548714484
05,LSTM,896.8087905496359,1088.8067789828795,4.429614894612106
05,Prophet,220.78834381837305,236.27878089361295,1.209358855378233
05,XGBoost,608.017333984375,705.7863522341587,3.341223417207452
06,ARIMA,174.01241019477857,197.29188652001665,2.230158433937004
06,LSTM,538.7930570244789,568.8547905351303,7.1698150278720005
06,Prophet,375.31478073655023,384.2118143173172,4.7998213948771795
06,XGBoost,92.24237060546875,110.39722755378642,1.172463092654889
07,ARIMA,2602.7384087618348,2975.5560236101655,5.023274632356105
07,LSTM,4949.545309282838,6038.658558004231,10.061642851741544
07,Prophet,120.28295632685695,163.79569035024747,0.2311703037633542
07,XGBoost,462.6044921875,531.2813814260763,0.8936008976834265
08,ARIMA,283.41197748790785,302.50577221403756,3.7562011509995537
08,LSTM,394.41167008876835,533.4450869852171,5.3446103433940175
08,Prophet,1256.0856959064556,1285.6475884992935,16.475015634948303
08,XGBoost,283.0006103515625,335.191619637186,3.656420007793846
09,ARIMA,967.5926846975599,1099.7389918452614,2.65909525478346
09,LSTM,893.6429564505816,1103.457815903623,2.4643224373705843
09,Prophet,68.52620614766147,79.23084392493543,0.18838473683921547
09,XGBoost,602.74267578125,733.359223027842,1.6513123788363584
10,ARIMA,342.17919504595534,358.64461413984424,3.6449282994889045
10,LSTM,500.9997519403696,524.451648659544,5.680497276516402
10,Prophet,252.19123960407296,267.70488359736953,2.687840911036971
10,XGBoost,485.1851806640625,520.2071702696917,5.162795117136533
11,ARIMA,6063.08523765518,6611.640681681164,15.45310510896698
11,LSTM,11747.339505329726,12556.926257967718,30.128163836447303
11,Prophet,313.56950825637705,345.73767851766036,0.8014679844423142
11,XGBoost,1501.984375,1633.1145091511496,3.839382807944998
12,ARIMA,643.064891617033,833.2308030524091,1.3350866312876601
12,LSTM,1673.3147839456797,2028.3607670455212,3.5641285839694627
12,Prophet,492.139852141132,505.9598490176535,1.0125480338838662
12,XGBoost,991.501953125,1151.6856124828512,2.030649281066581
