ds,coicop_code,volume,price,deflator,unemployment_rate,is_holiday
2022-04-01,01,31637,30817,97.4,3.7,0
2022-07-01,01,31985,32643,102.1,3.7,0
2022-10-01,01,32042,34136,106.5,3.9,0
2023-01-01,01,31908,35227,110.4,4.0,0
2023-04-01,01,31663,36302,114.7,4.2,0
2023-07-01,01,30931,35764,115.6,4.1,0
2023-10-01,01,30884,35948,116.4,4.0,0
2024-01-01,01,31261,36412,116.5,4.3,1
2024-04-01,01,31163,36363,116.7,4.3,1
2024-07-01,01,31162,36588,117.4,4.2,0
2024-10-01,01,30901,36665,118.7,4.4,0
2025-01-01,01,30930,37046,119.8,4.5,1
2022-04-01,02,11838,11810,99.8,3.7,0
2022-07-01,02,11897,11937,100.3,3.7,0
2022-10-01,02,11785,11946,101.4,3.9,0
2023-01-01,02,11754,11810,100.5,4.0,0
2023-04-01,02,11709,12171,103.9,4.2,0
2023-07-01,02,11508,12191,105.9,4.1,0
2023-10-01,02,11459,12228,106.7,4.0,0
2024-01-01,02,11518,12567,109.1,4.3,1
2024-04-01,02,11477,12604,109.8,4.3,1
2024-07-01,02,11507,12691,110.3,4.2,0
2024-10-01,02,11503,12843,111.6,4.4,0
2025-01-01,02,11388,12962,113.8,4.5,1
2022-04-01,03,17994,17800,98.9,3.7,0
2022-07-01,03,18009,18275,101.5,3.7,0
2022-10-01,03,18140,18846,103.9,3.9,0
2023-01-01,03,18675,19429,104.0,4.0,0
2023-04-01,03,18787,19957,106.2,4.2,0
2023-07-01,03,18392,19820,107.8,4.1,0
2023-10-01,03,18224,19803,108.7,4.0,0
2024-01-01,03,18012,19628,109.0,4.3,1
2024-04-01,03,18136,19761,109.0,4.3,1
2024-07-01,03,18576,20282,109.2,4.2,0
2024-10-01,03,18357,20164,109.8,4.4,0
2025-01-01,03,18348,20153,109.8,4.5,1
