ds,coicop_code,volume,price,deflator,unemployment_rate,is_holiday
2022-04-01,04,98326,98272,99.9,3.7,0
2022-07-01,04,98294,99311,101.0,3.7,0
2022-10-01,04,98191,102011,103.9,3.9,0
2023-01-01,04,98410,103618,105.3,4.0,0
2023-04-01,04,98745,105035,106.4,4.2,0
2023-07-01,04,98745,105395,106.7,4.1,0
2023-10-01,04,99555,105993,106.5,4.0,0
2024-01-01,04,99927,108223,108.3,4.3,1
2024-04-01,04,100235,108908,108.7,4.3,1
2024-07-01,04,100805,111482,110.6,4.2,0
2024-10-01,04,100942,113583,112.5,4.4,0
2025-01-01,04,101363,115295,113.7,4.5,1
2022-04-01,05,19906,19716,99.0,3.7,0
2022-07-01,05,19617,19882,101.4,3.7,0
2022-10-01,05,19148,19751,103.1,3.9,0
2023-01-01,05,18803,19766,105.1,4.0,0
2023-04-01,05,18911,20072,106.1,4.2,0
2023-07-01,05,18852,19939,105.8,4.1,0
2023-10-01,05,18214,19185,105.3,4.0,0
2024-01-01,05,18177,19054,104.8,4.3,1
2024-04-01,05,18219,19112,104.9,4.3,1
2024-07-01,05,18227,19041,104.5,4.2,0
2024-10-01,05,17988,18928,105.2,4.4,0
2025-01-01,05,18394,19385,105.4,4.5,1
2022-04-01,06,7437,7390,99.4,3.7,0
2022-07-01,06,7405,7427,100.3,3.7,0
2022-10-01,06,7815,7946,101.7,3.9,0
2023-01-01,06,7882,8239,104.5,4.0,0
2023-04-01,06,7891,8489,107.6,4.2,0
2023-07-01,06,7928,8704,109.8,4.1,0
2023-10-01,06,7788,8670,111.3,4.0,0
2024-01-01,06,7775,8789,113.0,4.3,1
2024-04-01,06,7799,8972,115.0,4.3,1
2024-07-01,06,7785,9030,116.0,4.2,0
2024-10-01,06,7703,9041,117.4,4.4,0
2025-01-01,06,7911,9377,118.5,4.5,1
