ds,coicop_code,volume,price,deflator,unemployment_rate,is_holiday
2022-04-01,10,8829,8751,99.1,3.7,0
2022-07-01,10,9011,8970,99.5,3.7,0
2022-10-01,10,9003,9226,102.5,3.9,0
2023-01-01,10,9088,9296,102.3,4.0,0
2023-04-01,10,9249,9464,102.3,4.2,0
2023-07-01,10,9357,9633,102.9,4.1,0
2023-10-01,10,9172,9803,106.9,4.0,0
2024-01-01,10,9331,9974,106.9,4.3,1
2024-04-01,10,9494,10146,106.9,4.3,1
2024-07-01,10,9600,10323,107.5,4.2,0
2024-10-01,10,9350,10499,112.3,4.4,0
2025-01-01,10,9293,10674,114.9,4.5,1
2022-04-01,11,41414,41843,101.0,3.7,0
2022-07-01,11,41358,41269,99.8,3.7,0
2022-10-01,11,41625,42409,101.9,3.9,0
2023-01-01,11,40651,43243,106.4,4.0,0
2023-04-01,11,40509,43480,107.3,4.2,0
2023-07-01,11,39730,43272,108.9,4.1,0
2023-10-01,11,39093,43049,110.1,4.0,0
2024-01-01,11,38878,43970,113.1,4.3,1
2024-04-01,11,38603,44449,115.1,4.3,1
2024-07-01,11,38987,45006,115.4,4.2,0
2024-10-01,11,39493,45958,116.4,4.4,0
2025-01-01,11,39476,46930,118.9,4.5,1
2022-04-01,12,48730,47051,96.6,3.7,0
2022-07-01,12,48329,48837,101.1,3.7,0
2022-10-01,12,47924,52381,109.3,3.9,0
2023-01-01,12,47954,54635,113.9,4.0,0
2023-04-01,12,48427,54382,112.3,4.2,0
2023-07-01,12,47389,53464,112.8,4.1,0
2023-10-01,12,47916,54046,112.8,4.0,0
2024-01-01,12,48546,55528,114.4,4.3,1
2024-04-01,12,48641,54658,112.4,4.3,1
2024-07-01,12,49074,55400,112.9,4.2,0
2024-10-01,12,49192,56206,114.3,4.4,0
2025-01-01,12,48883,57060,116.7,4.5,1
