ds,coicop_code,volume,price,deflator,unemployment_rate,is_holiday
2022-04-01,01,31637,30817,97.4,3.7,0
2022-07-01,01,31985,32643,102.1,3.7,0
2022-10-01,01,32042,34136,106.5,3.9,0
2023-01-01,01,31908,35227,110.4,4.0,0
2023-04-01,01,31663,36302,114.7,4.2,0
2023-07-01,01,30931,35764,115.6,4.1,0
2023-10-01,01,30884,35948,116.4,4.0,0
2024-01-01,01,31261,36412,116.5,4.3,1
2024-04-01,01,31163,36363,116.7,4.3,1
2024-07-01,01,31162,36588,117.4,4.2,0
2024-10-01,01,30901,36665,118.7,4.4,0
2025-01-01,01,30930,37046,119.8,4.5,1
2022-04-01,05,19906,19716,99.0,3.7,0
2022-07-01,05,19617,19882,101.4,3.7,0
2022-10-01,05,19148,19751,103.1,3.9,0
2023-01-01,05,18803,19766,105.1,4.0,0
2023-04-01,05,18911,20072,106.1,4.2,0
2023-07-01,05,18852,19939,105.8,4.1,0
2023-10-01,05,18214,19185,105.3,4.0,0
2024-01-01,05,18177,19054,104.8,4.3,1
2024-04-01,05,18219,19112,104.9,4.3,1
2024-07-01,05,18227,19041,104.5,4.2,0
2024-10-01,05,17988,18928,105.2,4.4,0
2025-01-01,05,18394,19385,105.4,4.5,1
2022-04-01,11,41414,41843,101.0,3.7,0
2022-07-01,11,41358,41269,99.8,3.7,0
2022-10-01,11,41625,42409,101.9,3.9,0
2023-01-01,11,40651,43243,106.4,4.0,0
2023-04-01,11,40509,43480,107.3,4.2,0
2023-07-01,11,39730,43272,108.9,4.1,0
2023-10-01,11,39093,43049,110.1,4.0,0
2024-01-01,11,38878,43970,113.1,4.3,1
2024-04-01,11,38603,44449,115.1,4.3,1
2024-07-01,11,38987,45006,115.4,4.2,0
2024-10-01,11,39493,45958,116.4,4.4,0
2025-01-01,11,39476,46930,118.9,4.5,1
